ID_MATERIELINFO,TYPE,MODELE,GES
Paris_MATERIEL_INFO_202405019,PC portable,EliteBook 8xx,0.29
Paris_MATERIEL_INFO_2024050110,PC portable,MacBook air pre-retina,0.31
Paris_MATERIEL_INFO_2024050111,Ecran,24pouces-31pouces,0.43
Paris_MATERIEL_INFO_2024050112,PC portable, ,0.26
LONDON_MATERIEL_INFO_202405010,PC fixe sans ecran,Precision tower 3xxx,0.285
LONDON_MATERIEL_INFO_202405011,PC portable,OMEN ,0.29
LONDON_MATERIEL_INFO_202405012,Serveur,Noeud de calcul,1.3
LONDON_MATERIEL_INFO_202405013,PC portable,Moyenne 17pouces,0.365
LONDON_MATERIEL_INFO_202405014,Serveur,Modèle par défaut,1.3
LONDON_MATERIEL_INFO_202405015,Tablette, ,0.15
LONDON_MATERIEL_INFO_202405016,Vidéo projecteur,Pour salle,0.15
LONDON_MATERIEL_INFO_202405017,PC fixe sans ecran,Optiplex micro,0.174
LONDON_MATERIEL_INFO_202405018,PC portable,MacBook air retina,0.176
LONDON_MATERIEL_INFO_202405019,PC fixe sans ecran,modèle par défaut,0.35
LONDON_MATERIEL_INFO_2024050110,PC fixe tout-en-un,modèle par défaut,0.352
LONDON_MATERIEL_INFO_2024050111, ,32pouces et plus,0.59
LONDON_MATERIEL_INFO_2024050112,PC fixe sans ecran,Precision tower 7xxx,0.555
LA_MATERIEL_INFO_202405011,Vidéo projecteur,Transportable,0.094
NewYork_MATERIEL_INFO_202405010,PC portable,MacBook pro 15/16pouces,0.33
NewYork_MATERIEL_INFO_202405011, ,Station de travail (moy),0.6
NewYork_MATERIEL_INFO_202405012,Serveur,Noeud de calcul,1.3
NewYork_MATERIEL_INFO_202405013,PC fixe sans ecran,Station de travail (moy),0.6
NewYork_MATERIEL_INFO_202405014,PC fixe sans ecran,PC Fixe (moy),0.3
NewYork_MATERIEL_INFO_202405015,PC portable,ZBook,0.303
NewYork_MATERIEL_INFO_202405016,PC fixe sans ecran,ProDesk mini/DM,0.1
NewYork_MATERIEL_INFO_202405017,PC fixe sans ecran,Precision tower 7xxx,0.555
Shanghai_MATERIEL_INFO_202405010,Ecran,jusqu'à 23pouces,0.35
Shanghai_MATERIEL_INFO_202405011,PC fixe sans ecran,Mac mini,0.27
Shanghai_MATERIEL_INFO_202405012,Vidéo projecteur, ,0.094
BERLIN_MATERIEL_INFO_202405020,imprimante,Laser à poser (<40kg),0.43
BERLIN_MATERIEL_INFO_202405021,Vidéo projecteur,Pour salle,0.15
BERLIN_MATERIEL_INFO_202405022,PC fixe sans ecran,EliteDesk DM,0.23
Paris_MATERIEL_INFO_202405020,Serveur,Noeud de calcul,1.3
Paris_MATERIEL_INFO_202405021, ,24pouces-31pouces,0.43
Paris_MATERIEL_INFO_202405022,PC fixe tout-en-un,Mac pro,0.9
Paris_MATERIEL_INFO_202405023, ,modèle par défaut,0.3638875
Paris_MATERIEL_INFO_202405024,clavier,modèle par défaut,0.024
Paris_MATERIEL_INFO_202405025,PC portable,Moyenne 13pouces,0.25
Paris_MATERIEL_INFO_202405026,Smartphone, ,0.063
Paris_MATERIEL_INFO_202405027, ,Modèle par défaut,1.3
Paris_MATERIEL_INFO_202405028,PC fixe tout-en-un,modèle par défaut,0.352
Paris_MATERIEL_INFO_202405029,PC fixe sans ecran,Mac mini,0.27
Paris_MATERIEL_INFO_2024050210,PC fixe sans ecran,Optiplex micro,0.174
Paris_MATERIEL_INFO_2024050211, ,modèle par défaut,0.3638875
Paris_MATERIEL_INFO_2024050212,PC portable,Moyenne 14/15pouces,0.294
Paris_MATERIEL_INFO_2024050213,clavier,modèle par défaut,0.024
LONDON_MATERIEL_INFO_202405020,PC fixe tout-en-un,Mac pro,0.9
LA_MATERIEL_INFO_202405021, ,EliteBook 6xx,0.175
LA_MATERIEL_INFO_202405022,Ecran,modèle par défaut,0.43
LA_MATERIEL_INFO_202405024,PC fixe sans ecran,Precision tower 3xxx,0.285
LA_MATERIEL_INFO_202405025,Serveur, ,0.3638875
LA_MATERIEL_INFO_202405026, ,MacBook air,0.25
LA_MATERIEL_INFO_202405027, ,ProBook ,0.226
LA_MATERIEL_INFO_202405029,PC fixe sans ecran,Rasberry pi 4,0.015
LA_MATERIEL_INFO_2024050210,Serveur,Modèle par défaut,1.3
LA_MATERIEL_INFO_2024050211,PC portable,Latitude 5xxx,0.3
LA_MATERIEL_INFO_2024050212,PC portable,ProBook ,0.226
NewYork_MATERIEL_INFO_202405020,PC fixe sans ecran,Rasberry pi 4,0.015
NewYork_MATERIEL_INFO_202405021,PC fixe sans ecran,ProDesk mini/DM,0.1
NewYork_MATERIEL_INFO_202405022, ,Transportable,0.094
NewYork_MATERIEL_INFO_202405023,imprimante,modèle par défaut,0.5
NewYork_MATERIEL_INFO_202405024,PC portable,MacBook pro 15/16pouces,0.33
NewYork_MATERIEL_INFO_202405025,imprimante,Laser A3 (>100kg),1.8
NewYork_MATERIEL_INFO_202405026,PC portable,MacBook pro 13pouces,0.256
NewYork_MATERIEL_INFO_202405027,PC fixe sans ecran,"Prodesk (Tower, SFF)",0.322
Shanghai_MATERIEL_INFO_202405020,PC portable,MacBook pro 15/16pouces,0.33
Shanghai_MATERIEL_INFO_202405021,PC fixe sans ecran,ZHAN,0.264
Shanghai_MATERIEL_INFO_202405022,PC portable,ZBook Studio,0.379
Shanghai_MATERIEL_INFO_202405023,Ecran,modèle par défaut,0.43
Shanghai_MATERIEL_INFO_202405024,PC fixe sans ecran,ZHAN,0.264
BERLIN_MATERIEL_INFO_202405030, ,ZHAN,0.264
BERLIN_MATERIEL_INFO_202405031,souris, ,0.005
BERLIN_MATERIEL_INFO_202405032, ,Precision 3xxx,0.266
BERLIN_MATERIEL_INFO_202405033,PC fixe tout-en-un, ,0.352
Paris_MATERIEL_INFO_202405030,PC fixe sans ecran,ProDesk mini/DM,0.1
Paris_MATERIEL_INFO_202405031,PC fixe tout-en-un,iMac 21pouces retina,0.3
LONDON_MATERIEL_INFO_202405030,PC fixe sans ecran,Precision tower 7xxx,0.555
LONDON_MATERIEL_INFO_202405031,Vidéo projecteur,Transportable,0.094
LONDON_MATERIEL_INFO_202405032,Serveur,Noeud de calcul,1.3
LONDON_MATERIEL_INFO_202405033,souris,modèle par défaut,0.005
LONDON_MATERIEL_INFO_202405034,PC portable,EliteBook 6xx,0.175
LONDON_MATERIEL_INFO_202405035,PC fixe sans ecran, ,0.35
LONDON_MATERIEL_INFO_202405036,PC fixe sans ecran,EliteDesk DM,0.23
LONDON_MATERIEL_INFO_202405037,PC fixe sans ecran,Station de travail (moy),0.6
LONDON_MATERIEL_INFO_202405038,Ecran,jusqu'à 23pouces,0.35
LONDON_MATERIEL_INFO_202405039, ,modèle par défaut,0.3638875
LA_MATERIEL_INFO_202405030,PC fixe sans ecran,Precision tower 3xxx,0.285
NewYork_MATERIEL_INFO_202405030,PC fixe sans ecran,"EliteDesk (Tower, SFF, One)",0.393
NewYork_MATERIEL_INFO_202405031,PC portable, ,0.26
NewYork_MATERIEL_INFO_202405032,Serveur,Modèle par défaut,1.3
Shanghai_MATERIEL_INFO_202405030,PC fixe sans ecran,OMEN ,0.29
Shanghai_MATERIEL_INFO_202405031,PC fixe tout-en-un, ,0.352
Shanghai_MATERIEL_INFO_202405032, ,modèle par défaut,0.3638875
Shanghai_MATERIEL_INFO_202405033,PC portable,MacBook pro 13pouces,0.256
Shanghai_MATERIEL_INFO_202405034,PC portable,OMEN ,0.29
Shanghai_MATERIEL_INFO_202405035,PC portable,ZBook Studio,0.379
Shanghai_MATERIEL_INFO_202405036,Disque dur,modèle par défaut,0.01
BERLIN_MATERIEL_INFO_202405040, ,Z,0.409
BERLIN_MATERIEL_INFO_202405041,PC fixe tout-en-un,modèle par défaut,0.352
BERLIN_MATERIEL_INFO_202405042,PC portable,EliteBook 6xx,0.175
Paris_MATERIEL_INFO_202405040, ,Rasberry pi 4,0.015
Paris_MATERIEL_INFO_202405041, ,24pouces-31pouces,0.43
Paris_MATERIEL_INFO_202405042,PC fixe tout-en-un,Optiplex All-in-One 3xxx,0.241
Paris_MATERIEL_INFO_202405043, ,Precision 5xxx,0.28
Paris_MATERIEL_INFO_202405044, ,32pouces et plus,0.59
Paris_MATERIEL_INFO_202405045,PC fixe sans ecran,Mac pro,0.9
Paris_MATERIEL_INFO_202405046,PC portable,Victus,0.267
LONDON_MATERIEL_INFO_202405040,PC fixe sans ecran,Optiplex micro,0.174
LONDON_MATERIEL_INFO_202405041,PC portable,Moyenne 13pouces,0.25
LA_MATERIEL_INFO_202405040,PC portable,Precision 3xxx,0.266
LA_MATERIEL_INFO_202405041, ,Optiplex All-in-One 7xxx,0.382
LA_MATERIEL_INFO_202405044, ,Station de travail (moy),0.6
LA_MATERIEL_INFO_202405045, ,modèle par défaut,0.3638875
NewYork_MATERIEL_INFO_202405040,Telephone IP, ,0.017
Shanghai_MATERIEL_INFO_202405040,PC portable,Latitude 5xxx,0.3
Shanghai_MATERIEL_INFO_202405041, ,modèle par défaut,0.3638875
Shanghai_MATERIEL_INFO_202405042,PC fixe sans ecran,PC Fixe (moy),0.3
Shanghai_MATERIEL_INFO_202405043,Vidéo projecteur, ,0.094
Shanghai_MATERIEL_INFO_202405044,imprimante,modèle par défaut,0.5
Shanghai_MATERIEL_INFO_202405045, ,Laser A3 (40-99kg),0.96
Shanghai_MATERIEL_INFO_202405046,PC portable,EliteBook 10xx,0.223
Shanghai_MATERIEL_INFO_202405047,PC portable,Moyenne 13pouces,0.25
Shanghai_MATERIEL_INFO_202405048,PC fixe sans ecran,Z,0.409
Shanghai_MATERIEL_INFO_202405049,Ecran,jusqu'à 23pouces,0.35
Shanghai_MATERIEL_INFO_2024050410, ,EliteBook 8xx,0.29
BERLIN_MATERIEL_INFO_202405050, ,OMEN ,0.29
BERLIN_MATERIEL_INFO_202405051,souris,modèle par défaut,0.005
BERLIN_MATERIEL_INFO_202405052,Borne wifi, ,0.01
Paris_MATERIEL_INFO_202405050, ,modèle par défaut,0.3638875
Paris_MATERIEL_INFO_202405051, ,Optiplex All-in-One 7xxx,0.382
Paris_MATERIEL_INFO_202405052,PC fixe sans ecran, ,0.35
Paris_MATERIEL_INFO_202405053,imprimante,Laser A3 (>100kg),1.8
Paris_MATERIEL_INFO_202405054,PC fixe sans ecran,Elite mini,0.137
Paris_MATERIEL_INFO_202405055,PC portable,EliteBook 6xx,0.175
Paris_MATERIEL_INFO_202405056,PC fixe sans ecran,Optiplex micro,0.174
LONDON_MATERIEL_INFO_202405050,PC portable,Latitude 5xxx,0.3
LONDON_MATERIEL_INFO_202405051,PC fixe sans ecran, ,0.35
LONDON_MATERIEL_INFO_202405052,Serveur, ,0.3638875
LONDON_MATERIEL_INFO_202405053,PC portable, ,0.26
LONDON_MATERIEL_INFO_202405054,PC portable,MacBook air retina,0.176
LONDON_MATERIEL_INFO_202405055, ,modèle par défaut,0.3638875
LONDON_MATERIEL_INFO_202405056,PC portable,Victus,0.267
LONDON_MATERIEL_INFO_202405057,Ecran,jusqu'à 23pouces,0.35
LONDON_MATERIEL_INFO_202405058,PC portable,ZBook,0.303
LONDON_MATERIEL_INFO_202405059,PC portable,Victus,0.267
LONDON_MATERIEL_INFO_2024050510,PC fixe sans ecran,Optiplex micro,0.174
LONDON_MATERIEL_INFO_2024050511,PC fixe sans ecran,ProDesk mini/DM,0.1
LA_MATERIEL_INFO_202405052, ,Moyenne 14/15pouces,0.294
LA_MATERIEL_INFO_202405055,clavier,modèle par défaut,0.024
LA_MATERIEL_INFO_202405056,PC fixe tout-en-un,iMac 21pouces,0.29
NewYork_MATERIEL_INFO_202405050,PC fixe sans ecran,Elite mini,0.137
NewYork_MATERIEL_INFO_202405051,PC portable,ZBook Studio,0.379
NewYork_MATERIEL_INFO_202405052, ,Optiplex small,0.24
NewYork_MATERIEL_INFO_202405053,PC fixe sans ecran,ProDesk mini/DM,0.1
NewYork_MATERIEL_INFO_202405054,PC fixe sans ecran,EliteDesk DM,0.23
Shanghai_MATERIEL_INFO_202405050,PC portable,Moyenne 14/15pouces,0.294
Shanghai_MATERIEL_INFO_202405051,PC portable,MacBook air,0.25
Shanghai_MATERIEL_INFO_202405052,Ecran,32pouces et plus,0.59
Shanghai_MATERIEL_INFO_202405053,Ecran,modèle par défaut,0.43
Shanghai_MATERIEL_INFO_202405054,PC portable,Precision 5xxx,0.28
Shanghai_MATERIEL_INFO_202405055,PC portable,MacBook air,0.25
Shanghai_MATERIEL_INFO_202405056,PC fixe sans ecran, ,0.35
Shanghai_MATERIEL_INFO_202405057,Telephone IP,modèle par défaut,0.017
Shanghai_MATERIEL_INFO_202405058,PC portable,MacBook air pre-retina,0.31
Shanghai_MATERIEL_INFO_202405059, ,iMac 21pouces,0.29
Shanghai_MATERIEL_INFO_2024050510, ,MacBook air retina,0.176
Shanghai_MATERIEL_INFO_2024050511,Ecran,jusqu'à 23pouces,0.35
Shanghai_MATERIEL_INFO_2024050512,clavier,modèle par défaut,0.024
Shanghai_MATERIEL_INFO_2024050513,PC portable,Latitude 5xxx,0.3
BERLIN_MATERIEL_INFO_202405060, ,Latitude 3xxx,0.22
BERLIN_MATERIEL_INFO_202405061,PC fixe sans ecran,ProDesk mini/DM,0.1
BERLIN_MATERIEL_INFO_202405062,imprimante, ,0.5
BERLIN_MATERIEL_INFO_202405063,PC fixe tout-en-un,Optiplex All-in-One 3xxx,0.241
BERLIN_MATERIEL_INFO_202405064,PC fixe tout-en-un,Optiplex All-in-One 3xxx,0.241
Paris_MATERIEL_INFO_202405060,PC portable, ,0.26
LONDON_MATERIEL_INFO_202405060, ,modèle par défaut,0.3638875
LONDON_MATERIEL_INFO_202405061, ,Z,0.409
LONDON_MATERIEL_INFO_202405062, ,ZBook Studio,0.379
LA_MATERIEL_INFO_202405060,PC fixe sans ecran,"Prodesk (Tower, SFF)",0.322
NewYork_MATERIEL_INFO_202405060,PC portable,Precision 5xxx,0.28
NewYork_MATERIEL_INFO_202405061,PC fixe sans ecran, ,0.35
NewYork_MATERIEL_INFO_202405062,PC portable,Latitude 7xxx,0.264
NewYork_MATERIEL_INFO_202405063,Vidéo projecteur,modèle par défaut,0.094
NewYork_MATERIEL_INFO_202405064,PC fixe sans ecran,Optiplex micro,0.174
NewYork_MATERIEL_INFO_202405065,PC fixe sans ecran,"EliteDesk (Tower, SFF, One)",0.393
NewYork_MATERIEL_INFO_202405066,PC fixe tout-en-un,iMac 27pouces retina,0.45
NewYork_MATERIEL_INFO_202405067,PC fixe tout-en-un,Optiplex All-in-One 3xxx,0.241
NewYork_MATERIEL_INFO_202405068,Ecran, ,0.43
Shanghai_MATERIEL_INFO_202405060,PC fixe sans ecran,ProDesk mini/DM,0.1
Shanghai_MATERIEL_INFO_202405061,Ecran,24pouces-31pouces,0.43
Shanghai_MATERIEL_INFO_202405062,PC fixe sans ecran,Optiplex tower,0.26
Shanghai_MATERIEL_INFO_202405063,PC portable, ,0.26
Shanghai_MATERIEL_INFO_202405064,imprimante,Laser à poser (<40kg),0.43
Shanghai_MATERIEL_INFO_202405065, ,"Elite (Tower, SFF, One)",0.393
Shanghai_MATERIEL_INFO_202405066,PC portable,Precision 7xxx,0.304
Shanghai_MATERIEL_INFO_202405067,PC fixe sans ecran,Rasberry pi 4,0.015
Shanghai_MATERIEL_INFO_202405068,PC fixe sans ecran,"Prodesk (Tower, SFF)",0.322
BERLIN_MATERIEL_INFO_202405070,PC fixe sans ecran,"EliteDesk (Tower, SFF, One)",0.393
Paris_MATERIEL_INFO_202405070, ,iMac 21pouces,0.29
Paris_MATERIEL_INFO_202405071,Tablette,modèle par défaut,0.15
Paris_MATERIEL_INFO_202405072,PC portable, ,0.26
Paris_MATERIEL_INFO_202405073,Vidéo projecteur,Pour salle,0.15
Paris_MATERIEL_INFO_202405074,PC portable,Moyenne 14/15pouces,0.294
Paris_MATERIEL_INFO_202405075, ,Mac mini,0.27
Paris_MATERIEL_INFO_202405076,PC fixe sans ecran,Optiplex micro,0.174
Paris_MATERIEL_INFO_202405077,PC fixe sans ecran,Precision tower 5xxx,0.44
Paris_MATERIEL_INFO_202405078,PC portable,ZBook,0.303
Paris_MATERIEL_INFO_202405079,PC fixe sans ecran,Elite mini,0.137
Paris_MATERIEL_INFO_2024050710,Station d'accueil,modèle par défaut,0.026
Paris_MATERIEL_INFO_2024050711,imprimante,Laser à poser (<40kg),0.43
Paris_MATERIEL_INFO_2024050712,PC fixe tout-en-un,iMac 21pouces retina,0.3
LONDON_MATERIEL_INFO_202405070, ,modèle par défaut,0.3638875
LONDON_MATERIEL_INFO_202405071,PC fixe sans ecran,Optiplex micro,0.174
LONDON_MATERIEL_INFO_202405072,Station d'accueil,modèle par défaut,0.026
LONDON_MATERIEL_INFO_202405073,PC portable,Chromebook 14-15pouces,0.17
LONDON_MATERIEL_INFO_202405074,clavier,modèle par défaut,0.024
LONDON_MATERIEL_INFO_202405075,PC portable,Chromebook 14-15pouces,0.17
LONDON_MATERIEL_INFO_202405076, ,Z,0.409
LONDON_MATERIEL_INFO_202405077,PC fixe sans ecran,PC Fixe (moy),0.3
LONDON_MATERIEL_INFO_202405078,imprimante,Laser à poser (<40kg),0.43
LONDON_MATERIEL_INFO_202405079,PC fixe sans ecran,"Prodesk (Tower, SFF)",0.322
LONDON_MATERIEL_INFO_2024050710,PC fixe sans ecran,PC Fixe (moy),0.3
LA_MATERIEL_INFO_202405070, ,MacBook pro 13pouces,0.256
LA_MATERIEL_INFO_202405071, ,iMac 27pouces retina,0.45
LA_MATERIEL_INFO_202405072,Ecran,jusqu'à 23pouces,0.35
LA_MATERIEL_INFO_202405073,PC portable,Latitude 3xxx,0.22
LA_MATERIEL_INFO_202405074,PC portable, ,0.26
LA_MATERIEL_INFO_202405075,Station d'accueil,modèle par défaut,0.026
NewYork_MATERIEL_INFO_202405070,PC fixe tout-en-un,Optiplex All-in-One 3xxx,0.241
NewYork_MATERIEL_INFO_202405071,PC portable,Precision 5xxx,0.28
NewYork_MATERIEL_INFO_202405072,PC fixe sans ecran, ,0.35
NewYork_MATERIEL_INFO_202405073,Vidéo projecteur,modèle par défaut,0.094
NewYork_MATERIEL_INFO_202405074,PC fixe sans ecran, ,0.35
NewYork_MATERIEL_INFO_202405075,imprimante,Laser A3 (40-99kg),0.96
NewYork_MATERIEL_INFO_202405076,PC fixe sans ecran,Optiplex micro,0.174
NewYork_MATERIEL_INFO_202405077,Vidéo projecteur,Pour salle,0.15
Shanghai_MATERIEL_INFO_202405070,PC fixe sans ecran, ,0.35
Shanghai_MATERIEL_INFO_202405071,Smartphone,modèle par défaut,0.063
Shanghai_MATERIEL_INFO_202405072,Ecran,32pouces et plus,0.59
Shanghai_MATERIEL_INFO_202405073,Borne wifi,modèle par défaut,0.01
Shanghai_MATERIEL_INFO_202405074,Smartphone,modèle par défaut,0.063
Shanghai_MATERIEL_INFO_202405075,Ecran,24pouces-31pouces,0.43
Shanghai_MATERIEL_INFO_202405076,Borne wifi,modèle par défaut,0.01
Shanghai_MATERIEL_INFO_202405077,PC portable,Moyenne 14/15pouces,0.294
BERLIN_MATERIEL_INFO_202405080,PC fixe sans ecran,Z,0.409
BERLIN_MATERIEL_INFO_202405081,PC portable,EliteBook 8xx,0.29
BERLIN_MATERIEL_INFO_202405082, ,Precision 3xxx,0.266
BERLIN_MATERIEL_INFO_202405083,Ecran,jusqu'à 23pouces,0.35
BERLIN_MATERIEL_INFO_202405084,PC fixe sans ecran,Station de travail (moy),0.6
BERLIN_MATERIEL_INFO_202405085, ,"Elite (Tower, SFF, One)",0.393
Paris_MATERIEL_INFO_202405080,PC fixe sans ecran,Elite mini,0.137
Paris_MATERIEL_INFO_202405081,PC portable,MacBook air pre-retina,0.31
Paris_MATERIEL_INFO_202405082, ,Chromebook 11-13pouces,0.175
LONDON_MATERIEL_INFO_202405080,imprimante,Laser à poser (<40kg),0.43
LONDON_MATERIEL_INFO_202405081,PC fixe sans ecran,"EliteDesk (Tower, SFF, One)",0.393
LONDON_MATERIEL_INFO_202405082,PC fixe sans ecran,Precision tower 7xxx,0.555
LONDON_MATERIEL_INFO_202405083,PC fixe sans ecran,ZHAN,0.264
LONDON_MATERIEL_INFO_202405084, ,modèle par défaut,0.3638875
LONDON_MATERIEL_INFO_202405085,PC portable,modèle par défaut,0.26
LONDON_MATERIEL_INFO_202405086,PC fixe tout-en-un,iMac 27pouces retina,0.45
LONDON_MATERIEL_INFO_202405087, ,Station de travail (moy),0.6
LA_MATERIEL_INFO_202405080,PC fixe sans ecran,ZHAN,0.264
LA_MATERIEL_INFO_202405081,PC fixe sans ecran,Precision tower 3xxx,0.285
LA_MATERIEL_INFO_202405083,PC portable,MacBook air retina,0.176
LA_MATERIEL_INFO_202405084,Borne wifi,modèle par défaut,0.01
NewYork_MATERIEL_INFO_202405080,PC fixe sans ecran,PC Fixe (moy),0.3
NewYork_MATERIEL_INFO_202405081,Station d'accueil, ,0.026
NewYork_MATERIEL_INFO_202405082,clavier,modèle par défaut,0.024
NewYork_MATERIEL_INFO_202405083, ,Precision tower 5xxx,0.44
Shanghai_MATERIEL_INFO_202405080,PC fixe sans ecran,Precision tower 5xxx,0.44
Shanghai_MATERIEL_INFO_202405081,PC fixe tout-en-un,iMac 27pouces retina,0.45
Shanghai_MATERIEL_INFO_202405082,PC fixe tout-en-un,Mac pro,0.9
Shanghai_MATERIEL_INFO_202405083,PC portable, ,0.26
BERLIN_MATERIEL_INFO_202405090,Serveur,Modèle par défaut,1.3
BERLIN_MATERIEL_INFO_202405091,PC portable,Chromebook 14-15pouces,0.17
Paris_MATERIEL_INFO_202405090, ,EliteBook 8xx,0.29
Paris_MATERIEL_INFO_202405091, ,ZBook,0.303
Paris_MATERIEL_INFO_202405092, ,Latitude 7xxx,0.264
Paris_MATERIEL_INFO_202405093,Vidéo projecteur,modèle par défaut,0.094
Paris_MATERIEL_INFO_202405094,PC fixe sans ecran,Station de travail (moy),0.6
Paris_MATERIEL_INFO_202405095,Station d'accueil, ,0.026
Paris_MATERIEL_INFO_202405096,Tablette,modèle par défaut,0.15
